file,stride_time_mean,stride_time_std_dev,stride_time_CoV,stride_length_mean,stride_length_std_dev,stride_length_CoV,step_length_mean,step_length_std_dev,step_length_CoV,symmetry_indices_1,symmetry_indices_2,symmetry_indices_3,symmetry_indices_4,symmetry_indices_5,path_length,sway_area,stability_index,sway_path_length_mean,sway_path_length_dev,sway_path_length_CoV,free_acc_stability_mean,free_acc_stability_dev,free_acc_stability_CoV,symmetry_indices_6,symmetry_indices_7,symmetry_indices_8,symmetry_indices_9,symmetry_indices_10,symmetry_indices_11,symmetry_indices_12
NLS188_SelfPace.csv,2.2526666666666673,2.0807321361055156,0.9236751122102019,76.9066923734135,13.38344158440476,0.17402180709349283,50.33464779547555,19.549776477976298,0.3883960121746114,1.4413522772362712,89.88286492978746,1.5437034141705115,27.925036511168887,1.5189902662140482,106.87160142326918,0.3188254575674238,6.71374037123318,0.00023460672627927256,0.00034823784365745037,1.484347227295235,15.024769924108744,11.502368039301743,0.7655603445111692,11.003083238215666,0.15858843864660752,,,,,
WPD001_SelfPace.csv,1.7087499999999998,1.4373929307951943,0.8411955703263757,83.02991985980157,14.394044668575498,0.17335973216498657,50.32363516175271,17.85573606069588,0.35481808902125395,43.00017175864626,4.014525909086171,59.96440756225473,1.3499396702209188,2.589509706021429,91.96635586086059,0.3626863275144424,9.354989300526936,0.0002619651510917377,0.00036416569405628527,1.3901302999220606,29.171941604324488,22.75215788125053,0.7799329297257923,8.452315380855897,44.82745338915412,1.927311324926596,,,,
WPD002_SelfPace.csv,2.0023076923076917,1.5960053684416842,0.7970829730980369,100.24828684719813,25.048113104249772,0.24986075964000226,63.5077646207651,29.544625174036927,0.4652128027251763,4.569446039533521,108.66036094750346,2.3096283773643296,3.805585647346362,27.28738816701982,85.64897496662748,0.3198228072891229,8.692483736302949,0.0002464583216597716,0.0003355096382423175,1.3613240404415259,25.186424501963756,20.490944453681077,0.8135709954417477,50.2130535187562,,,,,,
WPD003_SelfPace.csv,2.759285714285715,2.485510767530529,0.9007805007876625,95.98927946614877,10.941308648785238,0.11398469401620792,59.23968399154203,14.084960409176718,0.23776224753642683,3.9271188249803903,17.410675494846686,6.508659338363701,25.019865700883265,0.8633034760955264,107.00293278353158,0.4845562898222798,4.965902189513068,0.00018662553691264344,0.0003178782412256743,1.703294449861212,8.220061518603563,5.614044112238501,0.6829686249346006,36.85182600044298,2.261770483523138,,,,,
WPD004_SelfPace.csv,2.4374999999999987,2.20653244178885,0.9052440786826057,100.3123465877456,21.884686910943127,0.218165436811909,68.84495230497534,32.454599729440794,0.4714158212452613,7.262023333984431,97.41899792107066,1.0334930667978954,7.207032036038907,24.253734200253945,89.91262377308209,0.2825975826941096,8.57873514120054,0.00021627440210708517,0.00030776798250946536,1.4230439641075898,24.53156554095635,16.277560671456904,0.6635353395722307,1.356564963949316,,,,,,
WPD005_SelfPace.csv,1.8536363636363644,1.2897658189642778,0.6958030411283497,108.59345764868236,18.222820204884382,0.16780771696061278,71.94221507072808,38.00395872601098,0.5282567222686763,2.337250032016628,36.79741814500615,5.6757623021160715,1.3280080621579033,60.8985791875031,69.6337537260972,0.3372183709683931,10.041429818569025,0.00024211317645140415,0.00032141971751489215,1.3275597892930295,33.61010426708239,24.563524145573574,0.7308374871550457,,,,,,,
WPD006_SelfPace.csv,2.1843749999999993,1.886984925582344,0.8638557599232479,78.36915328061335,14.97626648324631,0.1910989956676115,49.46319934528245,14.678105182704488,0.29674799400343305,4.029837297312429,39.233686312593534,5.186441186550093,12.40126603264757,41.441523826282044,110.16744099740097,0.3595378161666431,7.058391452091797,0.0002520433504288652,0.0003859273649703641,1.5311943930029819,16.60696329698752,11.415649674177828,0.6874013912133239,3.216120811341568,78.80061823758368,2.789126475787304,,,,
WPD007_SelfPace.csv,1.8864285714285722,1.526455310949695,0.8091773704390656,90.87759026440399,17.51148758418779,0.1926931329631316,56.722395390908524,23.8895653496528,0.4211663697383595,3.2284233300222467,6.3736303971155746,39.67180923778517,11.335099500506791,11.737288275991984,83.91875411238051,0.3742378618967199,7.885017920906241,0.00021334320587827743,0.0003068811578689802,1.4384388600782096,20.724502537670862,18.00970575802847,0.8690054550304542,87.02888075098745,0.3185587784129898,,,,,
WPD008_SelfPace.csv,1.8184615384615375,1.4832492718241475,0.815661613101266,92.42543116483589,11.478839502091262,0.12419568248071633,60.27634815959265,31.80362828385989,0.5276303103110024,0.10158576648917628,22.83055509584256,11.724811370464845,4.49116574913605,23.344419282733785,72.45659491542835,0.3121247211097403,9.410864011274525,0.0002094367146884088,0.0002799660760069289,1.3367573895696883,29.521453812900678,20.033063687834066,0.6785933990513622,40.643348528983914,,,,,,
WPD009_SelfPace.csv,2.761666666666668,3.142714679310796,1.1379775543672157,59.83847952381069,11.473979418481733,0.19174918062408408,38.52790213224909,17.96168069543119,0.4661992919774547,1.3094528056198764,8.220288720662396,9.652243717983266,5.94721013022461,1.0487674747458975,156.67612564119838,0.4038754066393894,3.717427174076647,0.00020369816943100258,0.00036181985275997677,1.776254807643393,4.606421598187829,3.372079017511257,0.7320387302017333,33.30830611412263,4.276974208411569,4.513355284575636,33.4320695530443,4.997791858330456,91.71745940025325,9.826985589899635
WPD010_SelfPace.csv,2.3918749999999993,2.249925606409022,0.9406535067296671,84.46301059099022,16.830276952583876,0.1992621010643822,50.05711258472574,25.086244482024213,0.501152447408222,43.264614800009625,14.300449191075426,10.014455806083088,4.820944889923053,52.9444863771197,113.50131730973038,0.41215126774615635,5.889130761779884,0.00024378951379060886,0.00041212450689877094,1.6904931655622613,11.560620376447375,8.14758026171664,0.7047701590751849,1.4998694139446114,54.46252527608929,7.080715393309289,,,,
WPD011_SelfPace.csv,2.3416666666666663,2.091115465221586,0.893003045646229,101.03461942017054,25.06188865214601,0.24805248731547808,65.7993655771718,27.16909414708631,0.4129081474991038,1.3674373115346228,45.356609155530855,2.4923904894421494,82.82677051556391,75.40293650214774,80.83620950014326,0.42694601624712447,9.432714018436828,0.0001711948185924636,0.00025039703711771577,1.4626437831263828,29.658697917871546,23.145712994440462,0.7804021962978175,3.7130019137507486,,,,,,
